formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	CN4O2	[M + H]+	CN4O2	1.0584277929488826	0.3304572055206433	0.7279705874282393	1	0.0	NaN	NaN	-10.906946167088519		101.00830	1441.83	1_sirius_output_26393	26393
1	C6H12O	[M + H]+	C6H12O	35.49657770876149	32.620570767831055	2.876006940930441	4	0.8478294083883569	3.873638439607282	3.873638439607282	-0.014403035072154406		101.09609	1015.23	2_sirius_output_12369	12369
